id,code,attributes,period,index1,index2,index3,index4
164,010,House price index,2020 Q3,102.0,106.5,109.5,108.9
165,100,New housing,2020 Q3,101.2,104.5,107.7,107.1
166,101,one-room flats on new housing,2020 Q3,101.6,105.5,109.3,108.1
167,102,two-room flats on new housing,2020 Q3,100.5,103.0,105.9,105.9
168,103,three-room flats on new housing,2020 Q3,102.0,105.5,108.1,107.7
170,201,one-room flats on existing housing,2020 Q3,101.1,107.7,111.9,112.6
171,202,two-room flats on existing housing,2020 Q3,103.1,107.5,111.2,110.3
172,203,three-room flats on existing housing,2020 Q3,102.6,107.8,108.5,107.1
173,010,House price index,2020 Q4,101.8,108.4,108.4,108.8
174,100,New housing,2020 Q4,101.6,106.1,106.1,106.9
175,101,one-room flats on new housing,2020 Q4,101.6,107.2,107.2,107.8
176,102,two-room flats on new housing,2020 Q4,101.4,104.5,104.5,105.6
177,103,three-room flats on new housing,2020 Q4,102.1,107.7,107.7,107.7
178,200,Existing housing,2020 Q4,101.9,109.7,109.7,109.8
179,201,one-room flats on existing housing,2020 Q4,102.0,109.8,109.8,111.9
180,202,two-room flats on existing housing,2020 Q4,102.4,110.0,110.0,110.2
181,203,three-room flats on existing housing,2020 Q4,101.5,109.4,109.4,107.7
182,010,House price index,2021 Q1,105.6,105.6,111.4,111.4
183,100,New housing,2021 Q1,104.9,104.9,109.8,109.8
184,101,one-room flats on new housing,2021 Q1,105.1,105.1,110.8,110.8
185,102,two-room flats on new housing,2021 Q1,103.7,103.7,107.9,107.9
186,103,three-room flats on new housing,2021 Q1,106.9,106.9,111.7,111.7
187,200,Existing housing,2021 Q1,106.1,106.1,112.4,112.4
188,201,one-room flats on existing housing,2021 Q1,106.2,106.2,112.3,112.3
189,202,two-room flats on existing housing,2021 Q1,106.3,106.3,113.1,113.1
190,203,three-room flats on existing housing,2021 Q1,105.9,105.9,111.8,111.8
191,010,House price index,2021 Q2,104.0,109.8,114.0,112.7
192,100,New housing,2021 Q2,104.6,109.7,112.8,111.3
193,101,one-room flats on new housing,2021 Q2,104.0,109.3,112.8,111.8
194,102,two-room flats on new housing,2021 Q2,105.2,109.1,111.2,109.6
195,103,three-room flats on new housing,2021 Q2,104.4,111.6,116.2,114.0
196,200,Existing housing,2021 Q2,103.6,109.9,114.7,113.5
197,201,one-room flats on existing housing,2021 Q2,103.0,109.4,112.8,112.5
198,202,two-room flats on existing housing,2021 Q2,103.8,110.3,116.5,114.8
199,203,three-room flats on existing housing,2021 Q2,103.9,110.0,114.6,113.2
